Group	Species	Classification	sppsOnBins	N	N_Institutes	taxIDs	BINs	Phylum	Order	Family	Genus
Actinopterygii	Bathycongrus macrurus	D	Bathycongrus macrurus	2	1	534430	BOLD:ABW4413	Chordata	Anguilliformes	Congridae	Bathycongrus
Actinopterygii	Bathycongrus varidens	D	Bathycongrus varidens	1	1	395426	BOLD:ABU7082	Chordata	Anguilliformes	Congridae	Bathycongrus
Actinopterygii	Bathygobius andrei	D	Bathygobius andrei	1	1	453880	BOLD:AAG2541	Chordata	Perciformes	Gobiidae	Bathygobius
Actinopterygii	Bathygobius lineatus	B	Bathygobius lineatus	4	1	178133	BOLD:AAF0181	Chordata	Perciformes	Gobiidae	Bathygobius
Actinopterygii	Bathygobius ramosus	A	Bathygobius ramosus	7	2	92689	BOLD:AAI4675	Chordata	Perciformes	Gobiidae	Bathygobius
Actinopterygii	Bathygobius soporator	E**	Bathygobius antilliensis,Bathygobius lacertus,Bathygobius soporator	44	4	23569	BOLD:AAA7196,BOLD:AAA7195,BOLD:AAA7198,BOLD:AAA7197	Chordata	Perciformes	Gobiidae	Bathygobius
Actinopterygii	Bathylagoides nigrigenys	D		0	1	779235		Chordata	Argentiniformes	Bathylagidae	Bathylagoides
Actinopterygii	Bathylagus antarcticus	C	Bathylagus antarcticus	15	2	59304	BOLD:AAB8351,BOLD:AAB8350	Chordata	Argentiniformes	Bathylagidae	Bathylagus
Actinopterygii	Bathylagus euryops	E*	Bathylagus euryops,Melanolagus bericoides	26	5	59604	BOLD:AAB5134	Chordata	Argentiniformes	Bathylagidae	Bathylagus
Actinopterygii	Bathypterois atricolor	E**	Bathypterois parini,Bathypterois atricolor,Bathypterois ventralis	7	2	148221	BOLD:AAF0017,BOLD:ABX8882	Chordata	Aulopiformes	Ipnopidae	Bathypterois
Actinopterygii	Bathypterois phenax	D	Bathypterois phenax	3	3	140895	BOLD:AAF0272	Chordata	Aulopiformes	Ipnopidae	Bathypterois
Actinopterygii	Bathysauropsis gracilis	A	Bathysauropsis gracilis	8	2	95949	BOLD:AAK0017	Chordata	Aulopiformes	Ipnopidae	Bathysauropsis
Actinopterygii	Bathytroctes microlepis	D	Bathytroctes microlepis	3	2	59418	BOLD:AAE1891	Chordata	Osmeriformes	Alepocephalidae	Bathytroctes
Actinopterygii	Bellator gymnostethus	D		6	2	371475		Chordata	Scorpaeniformes	Triglidae	Bellator
Actinopterygii	Bellator loxias	D	Bellator loxias	3	1	722982	BOLD:ABX8776	Chordata	Scorpaeniformes	Triglidae	Bellator
Actinopterygii	Bellator xenisma	F		0	0	503709		Chordata	Scorpaeniformes	Triglidae	Bellator
Actinopterygii	Benthalbella elongata	D	Benthalbella elongata	2	2	159629	BOLD:AAG5715,BOLD:AAJ8113	Chordata	Aulopiformes	Scopelarchidae	Benthalbella
Actinopterygii	Benthodesmus tenuis	C	Benthodesmus tenuis	7	3	140864	BOLD:ADC8546,BOLD:AAD5507,BOLD:AAD2423	Chordata	Perciformes	Trichiuridae	Benthodesmus
Actinopterygii	Bodianus diplotaenia	A	Bodianus diplotaenia	4	2	11546	BOLD:AAF5388	Chordata	Perciformes	Labridae	Bodianus
Actinopterygii	Bodianus eclancheri	D	Bodianus eclancheri	2	1	86915	BOLD:AAI8827	Chordata	Perciformes	Labridae	Bodianus
Actinopterygii	Bolinichthys longipes	D		3	1	304019		Chordata	Myctophiformes	Myctophidae	Bolinichthys
Actinopterygii	Borostomias antarcticus	A	Borostomias antarcticus	18	8	53085	BOLD:AAB5140	Chordata	Stomiiformes	Stomiidae	Borostomias
Actinopterygii	Bothrocara molle	A	Bothrocara molle	14	3	33965	BOLD:AAD8546	Chordata	Perciformes	Zoarcidae	Bothrocara
Actinopterygii	Bothus leopardinus	D	Bothus leopardinus,Engyophrys sanctilaurentii	2	1	200754	BOLD:AAF6514,BOLD:AAN0843	Chordata	Pleuronectiformes	Bothidae	Bothus
Actinopterygii	Bothus mancus	A	Bothus mancus	6	3	89276	BOLD:ACC1139	Chordata	Pleuronectiformes	Bothidae	Bothus
Actinopterygii	Bovichtus chilensis	A	Bovichtus chilensis	6	2	124063	BOLD:AAD8295	Chordata	Perciformes	Bovichtidae	Bovichtus
Actinopterygii	Brama brama	E**	Brama australis,Brama brama	24	6	13301	BOLD:AAB2580,BOLD:AAB2579	Chordata	Perciformes	Bramidae	Brama
Actinopterygii	Brama dussumieri	A	Brama dussumieri	4	4	372294	BOLD:AAD2229	Chordata	Perciformes	Bramidae	Brama
